jax-FedAvgM-run | INFO flwr 2023-12-01 20:57:49,567 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
jax-FedAvgM-run | INFO flwr 2023-12-01 20:57:49,569 | app.py:175 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
jax-FedAvgM-run | INFO flwr 2023-12-01 20:57:49,569 | server.py:89 | Initializing global parameters
jax-FedAvgM-run | INFO flwr 2023-12-01 20:57:49,569 | server.py:272 | Using initial parameters provided by strategy
jax-FedAvgM-run | INFO flwr 2023-12-01 20:57:49,569 | server.py:91 | Evaluating initial parameters
jax-FedAvgM-run | INFO flwr 2023-12-01 20:58:11,637 | server.py:94 | initial parameters (loss, other metrics): 2.3872830867767334, {'accuracy': 0.7021991014480591}
jax-FedAvgM-run | INFO flwr 2023-12-01 20:58:11,637 | server.py:104 | FL starting
jax-FedAvgM-run | DEBUG flwr 2023-12-01 20:58:11,638 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 2)
jax-FedAvgM-run | DEBUG flwr 2023-12-01 21:00:20,785 | server.py:236 | fit_round 1 received 2 results and 0 failures
jax-FedAvgM-run | WARNING flwr 2023-12-01 21:00:20,845 | fedavgm.py:198 | No fit_metrics_aggregation_fn provided
jax-FedAvgM-run | INFO flwr 2023-12-01 21:01:02,026 | server.py:125 | fit progress: (1, 1.3346176147460938, {'accuracy': 0.6985042691230774}, 170.388195645)
jax-FedAvgM-run | DEBUG flwr 2023-12-01 21:01:02,026 | server.py:173 | evaluate_round 1: strategy sampled 2 clients (out of 2)
jax-FedAvgM-run | DEBUG flwr 2023-12-01 21:01:44,147 | server.py:187 | evaluate_round 1 received 2 results and 0 failures
jax-FedAvgM-run | WARNING flwr 2023-12-01 21:01:44,147 | fedavg.py:273 | No evaluate_metrics_aggregation_fn provided
jax-FedAvgM-run | DEBUG flwr 2023-12-01 21:01:44,147 | server.py:222 | fit_round 2: strategy sampled 2 clients (out of 2)
jax-FedAvgM-run | DEBUG flwr 2023-12-01 21:03:54,679 | server.py:236 | fit_round 2 received 2 results and 0 failures
jax-FedAvgM-run | INFO flwr 2023-12-01 21:04:35,924 | server.py:125 | fit progress: (2, 0.7632662057876587, {'accuracy': 0.703769862651825}, 384.2867667109999)
jax-FedAvgM-run | DEBUG flwr 2023-12-01 21:04:35,925 | server.py:173 | evaluate_round 2: strategy sampled 2 clients (out of 2)
jax-FedAvgM-run | DEBUG flwr 2023-12-01 21:05:17,947 | server.py:187 | evaluate_round 2 received 2 results and 0 failures
jax-FedAvgM-run | DEBUG flwr 2023-12-01 21:05:17,947 | server.py:222 | fit_round 3: strategy sampled 2 clients (out of 2)
jax-FedAvgM-run | DEBUG flwr 2023-12-01 21:07:29,033 | server.py:236 | fit_round 3 received 2 results and 0 failures
jax-FedAvgM-run | INFO flwr 2023-12-01 21:08:10,289 | server.py:125 | fit progress: (3, 0.6864987015724182, {'accuracy': 0.7104629874229431}, 598.6510533609999)
jax-FedAvgM-run | DEBUG flwr 2023-12-01 21:08:10,289 | server.py:173 | evaluate_round 3: strategy sampled 2 clients (out of 2)
jax-FedAvgM-run | DEBUG flwr 2023-12-01 21:08:52,380 | server.py:187 | evaluate_round 3 received 2 results and 0 failures
jax-FedAvgM-run | DEBUG flwr 2023-12-01 21:08:52,380 | server.py:222 | fit_round 4: strategy sampled 2 clients (out of 2)
jax-FedAvgM-run | DEBUG flwr 2023-12-01 21:11:01,594 | server.py:236 | fit_round 4 received 2 results and 0 failures
jax-FedAvgM-run | INFO flwr 2023-12-01 21:11:42,849 | server.py:125 | fit progress: (4, 0.6029666662216187, {'accuracy': 0.7178819179534912}, 811.2113288579999)
jax-FedAvgM-run | DEBUG flwr 2023-12-01 21:11:42,849 | server.py:173 | evaluate_round 4: strategy sampled 2 clients (out of 2)
jax-FedAvgM-run | DEBUG flwr 2023-12-01 21:12:25,311 | server.py:187 | evaluate_round 4 received 2 results and 0 failures
jax-FedAvgM-run | DEBUG flwr 2023-12-01 21:12:25,312 | server.py:222 | fit_round 5: strategy sampled 2 clients (out of 2)
jax-FedAvgM-run | DEBUG flwr 2023-12-01 21:14:36,915 | server.py:236 | fit_round 5 received 2 results and 0 failures
jax-FedAvgM-run | INFO flwr 2023-12-01 21:14:58,962 | server.py:125 | fit progress: (5, 0.6969996690750122, {'accuracy': 0.724428117275238}, 1007.3246890259998)
jax-FedAvgM-run | DEBUG flwr 2023-12-01 21:14:58,968 | server.py:173 | evaluate_round 5: strategy sampled 2 clients (out of 2)
jax-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:41,473 | server.py:187 | evaluate_round 5 received 2 results and 0 failures
jax-FedAvgM-run | DEBUG flwr 2023-12-01 21:15:41,473 | server.py:222 | fit_round 6: strategy sampled 2 clients (out of 2)
jax-FedAvgM-run | DEBUG flwr 2023-12-01 21:17:50,762 | server.py:236 | fit_round 6 received 2 results and 0 failures
jax-FedAvgM-run | INFO flwr 2023-12-01 21:18:13,424 | server.py:125 | fit progress: (6, 0.6000586152076721, {'accuracy': 0.7322530746459961}, 1201.7868285230002)
jax-FedAvgM-run | DEBUG flwr 2023-12-01 21:18:13,430 | server.py:173 | evaluate_round 6: strategy sampled 2 clients (out of 2)
jax-FedAvgM-run | DEBUG flwr 2023-12-01 21:18:55,921 | server.py:187 | evaluate_round 6 received 2 results and 0 failures
jax-FedAvgM-run | DEBUG flwr 2023-12-01 21:18:55,921 | server.py:222 | fit_round 7: strategy sampled 2 clients (out of 2)
jax-FedAvgM-run | DEBUG flwr 2023-12-01 21:21:05,240 | server.py:236 | fit_round 7 received 2 results and 0 failures
