torch-FedAvgM-run | INFO flwr 2023-12-01 19:20:37,010 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
torch-FedAvgM-run | INFO flwr 2023-12-01 19:20:37,016 | app.py:175 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
torch-FedAvgM-run | INFO flwr 2023-12-01 19:20:37,016 | server.py:89 | Initializing global parameters
torch-FedAvgM-run | INFO flwr 2023-12-01 19:20:37,023 | server.py:272 | Using initial parameters provided by strategy
torch-FedAvgM-run | INFO flwr 2023-12-01 19:20:37,027 | server.py:91 | Evaluating initial parameters
torch-FedAvgM-run | INFO flwr 2023-12-01 19:21:18,266 | server.py:94 | initial parameters (loss, other metrics): 2.27453351020813, {'accuracy': 0.6924768686294556}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:21:18,266 | server.py:104 | FL starting
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:21:18,266 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 2)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:22:12,161 | server.py:236 | fit_round 1 received 2 results and 0 failures
torch-FedAvgM-run | WARNING flwr 2023-12-01 19:22:12,222 | fedavgm.py:198 | No fit_metrics_aggregation_fn provided
torch-FedAvgM-run | INFO flwr 2023-12-01 19:22:53,411 | server.py:125 | fit progress: (1, 1.4609901905059814, {'accuracy': 0.6894230842590332}, 95.14481913600002)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:22:53,411 | server.py:173 | evaluate_round 1: strategy sampled 2 clients (out of 2)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:23:06,007 | server.py:187 | evaluate_round 1 received 2 results and 0 failures
torch-FedAvgM-run | WARNING flwr 2023-12-01 19:23:06,007 | fedavg.py:273 | No evaluate_metrics_aggregation_fn provided
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:23:06,007 | server.py:222 | fit_round 2: strategy sampled 2 clients (out of 2)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:23:58,788 | server.py:236 | fit_round 2 received 2 results and 0 failures
torch-FedAvgM-run | INFO flwr 2023-12-01 19:24:21,576 | server.py:125 | fit progress: (2, 0.8247194886207581, {'accuracy': 0.6956349015235901}, 183.3094736060002)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:24:21,576 | server.py:173 | evaluate_round 2: strategy sampled 2 clients (out of 2)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:24:43,752 | server.py:187 | evaluate_round 2 received 2 results and 0 failures
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:24:43,752 | server.py:222 | fit_round 3: strategy sampled 2 clients (out of 2)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:25:34,708 | server.py:236 | fit_round 3 received 2 results and 0 failures
torch-FedAvgM-run | INFO flwr 2023-12-01 19:26:15,938 | server.py:125 | fit progress: (3, 0.6503514647483826, {'accuracy': 0.7031481266021729}, 297.67218555600016)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:26:15,939 | server.py:173 | evaluate_round 3: strategy sampled 2 clients (out of 2)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:26:28,911 | server.py:187 | evaluate_round 3 received 2 results and 0 failures
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:26:28,911 | server.py:222 | fit_round 4: strategy sampled 2 clients (out of 2)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:27:21,364 | server.py:236 | fit_round 4 received 2 results and 0 failures
torch-FedAvgM-run | INFO flwr 2023-12-01 19:28:02,612 | server.py:125 | fit progress: (4, 0.6275022029876709, {'accuracy': 0.7102430462837219}, 404.34553146400003)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:28:02,612 | server.py:173 | evaluate_round 4: strategy sampled 2 clients (out of 2)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:28:15,494 | server.py:187 | evaluate_round 4 received 2 results and 0 failures
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:28:15,494 | server.py:222 | fit_round 5: strategy sampled 2 clients (out of 2)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:29:08,447 | server.py:236 | fit_round 5 received 2 results and 0 failures
torch-FedAvgM-run | INFO flwr 2023-12-01 19:29:49,708 | server.py:125 | fit progress: (5, 0.5886200070381165, {'accuracy': 0.7174019813537598}, 511.442337166)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:29:49,709 | server.py:173 | evaluate_round 5: strategy sampled 2 clients (out of 2)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:30:02,751 | server.py:187 | evaluate_round 5 received 2 results and 0 failures
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:30:02,751 | server.py:222 | fit_round 6: strategy sampled 2 clients (out of 2)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:30:55,193 | server.py:236 | fit_round 6 received 2 results and 0 failures
torch-FedAvgM-run | INFO flwr 2023-12-01 19:31:17,704 | server.py:125 | fit progress: (6, 0.5545343160629272, {'accuracy': 0.7259259223937988}, 599.4380724990003)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:31:17,709 | server.py:173 | evaluate_round 6: strategy sampled 2 clients (out of 2)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:31:30,620 | server.py:187 | evaluate_round 6 received 2 results and 0 failures
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:31:30,620 | server.py:222 | fit_round 7: strategy sampled 2 clients (out of 2)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:32:22,440 | server.py:236 | fit_round 7 received 2 results and 0 failures
torch-FedAvgM-run | INFO flwr 2023-12-01 19:32:45,111 | server.py:125 | fit progress: (7, 0.5684285163879395, {'accuracy': 0.7328216433525085}, 686.8451158200003)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:32:45,112 | server.py:173 | evaluate_round 7: strategy sampled 2 clients (out of 2)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:32:58,332 | server.py:187 | evaluate_round 7 received 2 results and 0 failures
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:32:58,332 | server.py:222 | fit_round 8: strategy sampled 2 clients (out of 2)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:33:50,256 | server.py:236 | fit_round 8 received 2 results and 0 failures
torch-FedAvgM-run | INFO flwr 2023-12-01 19:34:31,499 | server.py:125 | fit progress: (8, 0.5636676549911499, {'accuracy': 0.7395833134651184}, 793.23279032)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:34:31,499 | server.py:173 | evaluate_round 8: strategy sampled 2 clients (out of 2)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:34:53,032 | server.py:187 | evaluate_round 8 received 2 results and 0 failures
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:34:53,033 | server.py:222 | fit_round 9: strategy sampled 2 clients (out of 2)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:35:43,985 | server.py:236 | fit_round 9 received 2 results and 0 failures
torch-FedAvgM-run | INFO flwr 2023-12-01 19:36:06,524 | server.py:125 | fit progress: (9, 0.5921929478645325, {'accuracy': 0.745899498462677}, 888.258036423)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:36:06,529 | server.py:173 | evaluate_round 9: strategy sampled 2 clients (out of 2)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:36:28,516 | server.py:187 | evaluate_round 9 received 2 results and 0 failures
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:36:28,516 | server.py:222 | fit_round 10: strategy sampled 2 clients (out of 2)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:37:21,736 | server.py:236 | fit_round 10 received 2 results and 0 failures
torch-FedAvgM-run | INFO flwr 2023-12-01 19:37:44,213 | server.py:125 | fit progress: (10, 0.5523993968963623, {'accuracy': 0.7518308162689209}, 985.946513569)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:37:44,213 | server.py:173 | evaluate_round 10: strategy sampled 2 clients (out of 2)
torch-FedAvgM-run | DEBUG flwr 2023-12-01 19:37:57,312 | server.py:187 | evaluate_round 10 received 2 results and 0 failures
torch-FedAvgM-run | INFO flwr 2023-12-01 19:37:57,312 | server.py:153 | FL finished in 999.0460496349999
torch-FedAvgM-run | INFO flwr 2023-12-01 19:37:57,314 | app.py:225 | app_fit: losses_distributed [(1, 1.460990071296692), (2, 0.8247194886207581), (3, 0.6503514647483826), (4, 0.6275021433830261), (5, 0.5886200666427612), (6, 0.5545343160629272), (7, 0.568428635597229), (8, 0.5636676549911499), (9, 0.5920578241348267), (10, 0.5519890189170837)]
torch-FedAvgM-run | INFO flwr 2023-12-01 19:37:57,314 | app.py:226 | app_fit: metrics_distributed_fit {}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:37:57,314 | app.py:227 | app_fit: metrics_distributed {}
torch-FedAvgM-run | INFO flwr 2023-12-01 19:37:57,314 | app.py:228 | app_fit: losses_centralized [(0, 2.27453351020813), (1, 1.4609901905059814), (2, 0.8247194886207581), (3, 0.6503514647483826), (4, 0.6275022029876709), (5, 0.5886200070381165), (6, 0.5545343160629272), (7, 0.5684285163879395), (8, 0.5636676549911499), (9, 0.5921929478645325), (10, 0.5523993968963623)]
torch-FedAvgM-run | INFO flwr 2023-12-01 19:37:57,314 | app.py:229 | app_fit: metrics_centralized {'accuracy': [(0, 0.6924768686294556), (1, 0.6894230842590332), (2, 0.6956349015235901), (3, 0.7031481266021729), (4, 0.7102430462837219), (5, 0.7174019813537598), (6, 0.7259259223937988), (7, 0.7328216433525085), (8, 0.7395833134651184), (9, 0.745899498462677), (10, 0.7518308162689209)]}
