torch-FedAdam-run | INFO flwr 2023-12-01 16:57:56,490 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:57:56,492 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:57:56,493 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:57:56,508 | connection.py:42 | ChannelConnectivity.TRANSIENT_FAILURE
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:57:56,711 | connection.py:139 | gRPC channel closed
torch-FedAdam-run | INFO flwr 2023-12-01 16:58:06,722 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdam-run | INFO flwr 2023-12-01 16:58:06,722 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:58:06,753 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:58:06,753 | connection.py:42 | ChannelConnectivity.IDLE
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:58:06,754 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:58:06,754 | connection.py:42 | ChannelConnectivity.CONNECTING
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:58:06,758 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdam-run | DEBUG flwr 2023-12-01 16:58:06,758 | connection.py:42 | ChannelConnectivity.READY
torch-FedAdam-run | INFO flwr 2023-12-01 16:58:31,595 | client.py:82 | Instance i-09203708ae4adf4ff : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 58, 31, 595528), 'cpu_utilization': 55.2}
torch-FedAdam-run | INFO flwr 2023-12-01 16:58:31,595 | client.py:82 | Instance i-09203708ae4adf4ff : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 58, 31, 595528), 'cpu_utilization': 55.2}
torch-FedAdam-run | INFO flwr 2023-12-01 16:59:24,383 | client.py:104 | Instance i-09203708ae4adf4ff : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 59, 24, 382858), 'cpu_utilization': 54.5}
torch-FedAdam-run | INFO flwr 2023-12-01 16:59:24,383 | client.py:104 | Instance i-09203708ae4adf4ff : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 59, 24, 382858), 'cpu_utilization': 54.5}
torch-FedAdam-run | INFO flwr 2023-12-01 16:59:49,960 | client.py:82 | Instance i-09203708ae4adf4ff : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 59, 49, 959991), 'cpu_utilization': 54.7}
torch-FedAdam-run | INFO flwr 2023-12-01 16:59:49,960 | client.py:82 | Instance i-09203708ae4adf4ff : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 16, 59, 49, 959991), 'cpu_utilization': 54.7}
torch-FedAdam-run | INFO flwr 2023-12-01 17:00:35,445 | client.py:104 | Instance i-09203708ae4adf4ff : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 17, 0, 35, 445777), 'cpu_utilization': 55.7}
torch-FedAdam-run | INFO flwr 2023-12-01 17:00:35,445 | client.py:104 | Instance i-09203708ae4adf4ff : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 17, 0, 35, 445777), 'cpu_utilization': 55.7}
torch-FedAdam-run | INFO flwr 2023-12-01 17:01:00,818 | client.py:82 | Instance i-09203708ae4adf4ff : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 17, 1, 0, 818222), 'cpu_utilization': 56.6}
