jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:50:44,028 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:58:20,784 | client.py:104 | Instance i-0b1b1a597730a5bcf : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 58, 20, 784197), 'cpu_utilization': 73.9}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:59:10,247 | client.py:82 | Instance i-0b1b1a597730a5bcf : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 59, 10, 246943), 'cpu_utilization': 87.0}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:59:10,247 | client.py:82 | Instance i-0b1b1a597730a5bcf : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 59, 10, 246943), 'cpu_utilization': 87.0}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 14:00:16,760 | client.py:104 | Instance i-0b1b1a597730a5bcf : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 0, 16, 760000), 'cpu_utilization': 99.0}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 14:00:16,760 | client.py:104 | Instance i-0b1b1a597730a5bcf : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 0, 16, 760000), 'cpu_utilization': 99.0}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 14:01:16,122 | client.py:82 | Instance i-0b1b1a597730a5bcf : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 1, 16, 122125), 'cpu_utilization': 87.0}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 14:01:16,122 | client.py:82 | Instance i-0b1b1a597730a5bcf : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 1, 16, 122125), 'cpu_utilization': 87.0}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 14:02:41,536 | client.py:104 | Instance i-0b1b1a597730a5bcf : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 2, 41, 536680), 'cpu_utilization': 98.9}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 14:02:41,536 | client.py:104 | Instance i-0b1b1a597730a5bcf : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 2, 41, 536680), 'cpu_utilization': 98.9}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 14:03:40,871 | client.py:82 | Instance i-0b1b1a597730a5bcf : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 3, 40, 871007), 'cpu_utilization': 87.0}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 14:03:40,871 | client.py:82 | Instance i-0b1b1a597730a5bcf : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 3, 40, 871007), 'cpu_utilization': 87.0}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 14:05:06,683 | client.py:104 | Instance i-0b1b1a597730a5bcf : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 5, 6, 683743), 'cpu_utilization': 99.0}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 14:05:06,683 | client.py:104 | Instance i-0b1b1a597730a5bcf : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 5, 6, 683743), 'cpu_utilization': 99.0}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 14:06:06,847 | client.py:82 | Instance i-0b1b1a597730a5bcf : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 6, 6, 847023), 'cpu_utilization': 87.1}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 14:06:06,847 | client.py:82 | Instance i-0b1b1a597730a5bcf : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 6, 6, 847023), 'cpu_utilization': 87.1}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 14:07:21,688 | client.py:104 | Instance i-0b1b1a597730a5bcf : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 7, 21, 688168), 'cpu_utilization': 76.8}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 14:07:21,688 | client.py:104 | Instance i-0b1b1a597730a5bcf : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 7, 21, 688168), 'cpu_utilization': 76.8}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 14:08:12,731 | client.py:82 | Instance i-0b1b1a597730a5bcf : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 8, 12, 731187), 'cpu_utilization': 87.2}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 14:08:12,731 | client.py:82 | Instance i-0b1b1a597730a5bcf : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 8, 12, 731187), 'cpu_utilization': 87.2}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 14:09:37,715 | client.py:104 | Instance i-0b1b1a597730a5bcf : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 9, 37, 715484), 'cpu_utilization': 98.8}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 14:09:37,715 | client.py:104 | Instance i-0b1b1a597730a5bcf : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 9, 37, 715484), 'cpu_utilization': 98.8}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 14:10:37,242 | client.py:82 | Instance i-0b1b1a597730a5bcf : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 10, 37, 242666), 'cpu_utilization': 87.1}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 14:10:37,242 | client.py:82 | Instance i-0b1b1a597730a5bcf : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 10, 37, 242666), 'cpu_utilization': 87.1}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 14:12:24,535 | client.py:104 | Instance i-0b1b1a597730a5bcf : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 12, 24, 535333), 'cpu_utilization': 99.0}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 14:12:24,535 | client.py:104 | Instance i-0b1b1a597730a5bcf : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 12, 24, 535333), 'cpu_utilization': 99.0}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 14:13:24,637 | client.py:82 | Instance i-0b1b1a597730a5bcf : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 13, 24, 637764), 'cpu_utilization': 87.0}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 14:13:24,637 | client.py:82 | Instance i-0b1b1a597730a5bcf : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 13, 24, 637764), 'cpu_utilization': 87.0}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 14:14:30,830 | client.py:104 | Instance i-0b1b1a597730a5bcf : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 14, 30, 830665), 'cpu_utilization': 98.7}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 14:14:30,830 | client.py:104 | Instance i-0b1b1a597730a5bcf : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 14, 30, 830665), 'cpu_utilization': 98.7}
jax-FedAdaGrad-run | DEBUG flwr 2023-11-26 14:14:40,499 | connection.py:139 | gRPC channel closed
jax-FedAdaGrad-run | DEBUG flwr 2023-11-26 14:14:40,499 | connection.py:139 | gRPC channel closed
jax-FedAdaGrad-run | INFO flwr 2023-11-26 14:14:40,499 | app.py:215 | Disconnect and shut down
jax-FedAdaGrad-run | INFO flwr 2023-11-26 14:14:40,499 | app.py:215 | Disconnect and shut down
