torch-FedAvg-run | INFO flwr 2023-12-01 19:00:17,201 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
torch-FedAvg-run | INFO flwr 2023-12-01 19:00:17,218 | app.py:175 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
torch-FedAvg-run | INFO flwr 2023-12-01 19:00:17,218 | server.py:89 | Initializing global parameters
torch-FedAvg-run | INFO flwr 2023-12-01 19:00:17,218 | server.py:272 | Using initial parameters provided by strategy
torch-FedAvg-run | INFO flwr 2023-12-01 19:00:17,218 | server.py:91 | Evaluating initial parameters
torch-FedAvg-run | INFO flwr 2023-12-01 19:00:40,075 | server.py:94 | initial parameters (loss, other metrics): 2.27453351020813, {'accuracy': 0.07222222536802292}
torch-FedAvg-run | INFO flwr 2023-12-01 19:00:40,075 | server.py:104 | FL starting
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:03:50,003 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 2)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:04:43,530 | server.py:236 | fit_round 1 received 2 results and 0 failures
torch-FedAvg-run | WARNING flwr 2023-12-01 19:04:43,598 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
torch-FedAvg-run | INFO flwr 2023-12-01 19:05:06,065 | server.py:125 | fit progress: (1, 1.4648488759994507, {'accuracy': 0.2923611104488373}, 265.98456574200003)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:05:06,069 | server.py:173 | evaluate_round 1: strategy sampled 2 clients (out of 2)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:05:19,325 | server.py:187 | evaluate_round 1 received 2 results and 0 failures
torch-FedAvg-run | WARNING flwr 2023-12-01 19:05:19,325 | fedavg.py:273 | No evaluate_metrics_aggregation_fn provided
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:05:19,325 | server.py:222 | fit_round 2: strategy sampled 2 clients (out of 2)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:06:11,745 | server.py:236 | fit_round 2 received 2 results and 0 failures
torch-FedAvg-run | INFO flwr 2023-12-01 19:06:53,012 | server.py:125 | fit progress: (2, 0.8188800811767578, {'accuracy': 0.45185184478759766}, 372.93242494)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:06:53,013 | server.py:173 | evaluate_round 2: strategy sampled 2 clients (out of 2)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:07:14,882 | server.py:187 | evaluate_round 2 received 2 results and 0 failures
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:07:14,882 | server.py:222 | fit_round 3: strategy sampled 2 clients (out of 2)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:08:06,798 | server.py:236 | fit_round 3 received 2 results and 0 failures
torch-FedAvg-run | INFO flwr 2023-12-01 19:08:29,371 | server.py:125 | fit progress: (3, 0.5978918671607971, {'accuracy': 0.5447916388511658}, 469.290706362)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:08:29,375 | server.py:173 | evaluate_round 3: strategy sampled 2 clients (out of 2)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:08:41,234 | server.py:187 | evaluate_round 3 received 2 results and 0 failures
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:08:41,235 | server.py:222 | fit_round 4: strategy sampled 2 clients (out of 2)
torch-FedAvg-run | DEBUG flwr 2023-12-01 19:09:34,057 | server.py:236 | fit_round 4 received 2 results and 0 failures
