torch-FedAdam-run | INFO flwr 2023-11-26 13:47:02,724 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
torch-FedAdam-run | INFO flwr 2023-11-26 13:47:02,731 | app.py:175 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
torch-FedAdam-run | INFO flwr 2023-11-26 13:47:02,736 | server.py:89 | Initializing global parameters
torch-FedAdam-run | INFO flwr 2023-11-26 13:47:02,740 | server.py:272 | Using initial parameters provided by strategy
torch-FedAdam-run | INFO flwr 2023-11-26 13:47:02,741 | server.py:91 | Evaluating initial parameters
torch-FedAdam-run | INFO flwr 2023-11-26 13:47:25,314 | server.py:94 | initial parameters (loss, other metrics): 2.349940538406372, {'accuracy': 0.5040849447250366}
torch-FedAdam-run | INFO flwr 2023-11-26 13:47:25,320 | server.py:104 | FL starting
torch-FedAdam-run | DEBUG flwr 2023-11-26 13:47:25,321 | server.py:222 | fit_round 1: strategy sampled 5 clients (out of 5)
torch-FedAdam-run | DEBUG flwr 2023-11-26 13:47:50,961 | server.py:236 | fit_round 1 received 5 results and 0 failures
torch-FedAdam-run | WARNING flwr 2023-11-26 13:47:51,121 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
torch-FedAdam-run | INFO flwr 2023-11-26 13:48:13,941 | server.py:125 | fit progress: (1, 85665.765625, {'accuracy': 0.49198412895202637}, 48.620740396999736)
torch-FedAdam-run | DEBUG flwr 2023-11-26 13:48:13,942 | server.py:173 | evaluate_round 1: strategy sampled 5 clients (out of 5)
torch-FedAdam-run | DEBUG flwr 2023-11-26 13:48:35,242 | server.py:187 | evaluate_round 1 received 5 results and 0 failures
torch-FedAdam-run | WARNING flwr 2023-11-26 13:48:35,242 | fedavg.py:273 | No evaluate_metrics_aggregation_fn provided
torch-FedAdam-run | DEBUG flwr 2023-11-26 13:48:35,242 | server.py:222 | fit_round 2: strategy sampled 5 clients (out of 5)
torch-FedAdam-run | DEBUG flwr 2023-11-26 13:49:00,863 | server.py:236 | fit_round 2 received 5 results and 0 failures
torch-FedAdam-run | INFO flwr 2023-11-26 13:49:42,283 | server.py:125 | fit progress: (2, 3383850.75, {'accuracy': 0.48016974329948425}, 136.962032893)
torch-FedAdam-run | DEBUG flwr 2023-11-26 13:49:42,283 | server.py:173 | evaluate_round 2: strategy sampled 5 clients (out of 5)
torch-FedAdam-run | DEBUG flwr 2023-11-26 13:50:04,089 | server.py:187 | evaluate_round 2 received 5 results and 0 failures
