jax-FedAvg-run | INFO flwr 2023-12-01 20:21:03,012 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
jax-FedAvg-run | INFO flwr 2023-12-01 20:21:03,030 | app.py:175 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
jax-FedAvg-run | INFO flwr 2023-12-01 20:21:03,031 | server.py:89 | Initializing global parameters
jax-FedAvg-run | INFO flwr 2023-12-01 20:21:03,031 | server.py:272 | Using initial parameters provided by strategy
jax-FedAvg-run | INFO flwr 2023-12-01 20:21:03,031 | server.py:91 | Evaluating initial parameters
jax-FedAvg-run | INFO flwr 2023-12-01 20:21:26,097 | server.py:94 | initial parameters (loss, other metrics): 2.3872830867767334, {'accuracy': 0.07500000298023224}
jax-FedAvg-run | INFO flwr 2023-12-01 20:21:26,097 | server.py:104 | FL starting
jax-FedAvg-run | DEBUG flwr 2023-12-01 20:23:39,430 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 2)
jax-FedAvg-run | DEBUG flwr 2023-12-01 20:25:53,871 | server.py:236 | fit_round 1 received 2 results and 0 failures
jax-FedAvg-run | WARNING flwr 2023-12-01 20:25:53,941 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
jax-FedAvg-run | INFO flwr 2023-12-01 20:26:16,316 | server.py:125 | fit progress: (1, 1.2156398296356201, {'accuracy': 0.38749998807907104}, 290.209763746)
jax-FedAvg-run | DEBUG flwr 2023-12-01 20:26:16,316 | server.py:173 | evaluate_round 1: strategy sampled 2 clients (out of 2)
jax-FedAvg-run | DEBUG flwr 2023-12-01 20:26:50,109 | server.py:187 | evaluate_round 1 received 2 results and 0 failures
jax-FedAvg-run | WARNING flwr 2023-12-01 20:26:50,110 | fedavg.py:273 | No evaluate_metrics_aggregation_fn provided
jax-FedAvg-run | DEBUG flwr 2023-12-01 20:26:50,110 | server.py:222 | fit_round 2: strategy sampled 2 clients (out of 2)
jax-FedAvg-run | DEBUG flwr 2023-12-01 20:29:00,160 | server.py:236 | fit_round 2 received 2 results and 0 failures
jax-FedAvg-run | INFO flwr 2023-12-01 20:29:41,388 | server.py:125 | fit progress: (2, 0.8247712850570679, {'accuracy': 0.5152778029441833}, 495.28245861100004)
